datetime,close,high,low,open,volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2025-12-12 03:45:00+00:00,1554.9000244140625,1554.9000244140625,1548.300048828125,1549.800048828125,0
2025-12-12 03:50:00+00:00,1552.199951171875,1555.0,1551.5,1554.300048828125,102128
2025-12-12 03:55:00+00:00,1551.5,1551.800048828125,1550.0,1551.699951171875,46268
2025-12-12 04:00:00+00:00,1551.9000244140625,1553.9000244140625,1551.300048828125,1551.5999755859375,60901
2025-12-12 04:05:00+00:00,1552.300048828125,1552.800048828125,1550.0999755859375,1551.9000244140625,57368
2025-12-12 04:10:00+00:00,1551.9000244140625,1552.699951171875,1551.5999755859375,1552.5,36625
2025-12-12 04:15:00+00:00,1550.9000244140625,1552.4000244140625,1550.5999755859375,1551.5999755859375,44906
2025-12-12 04:20:00+00:00,1551.0,1551.5999755859375,1550.5,1551.5,19458
2025-12-12 04:25:00+00:00,1550.300048828125,1551.0999755859375,1550.199951171875,1551.0,22405
2025-12-12 04:30:00+00:00,1551.300048828125,1551.300048828125,1549.0999755859375,1551.0,61492
2025-12-12 04:35:00+00:00,1551.0999755859375,1551.9000244140625,1551.0,1551.300048828125,26826
2025-12-12 04:40:00+00:00,1551.5999755859375,1551.5999755859375,1550.0,1551.0999755859375,36255
2025-12-12 04:45:00+00:00,1551.9000244140625,1552.0,1551.0,1551.300048828125,32700
2025-12-12 04:50:00+00:00,1549.4000244140625,1552.0,1549.199951171875,1551.699951171875,68261
2025-12-12 04:55:00+00:00,1549.300048828125,1550.300048828125,1547.199951171875,1549.800048828125,141743
2025-12-12 05:00:00+00:00,1550.5,1550.699951171875,1549.0,1549.300048828125,31093
2025-12-12 05:05:00+00:00,1549.4000244140625,1551.0,1549.4000244140625,1550.5,36962
2025-12-12 05:10:00+00:00,1548.4000244140625,1549.800048828125,1547.5999755859375,1549.800048828125,40967
2025-12-12 05:15:00+00:00,1547.699951171875,1548.699951171875,1546.699951171875,1548.4000244140625,85961
2025-12-12 05:20:00+00:00,1548.4000244140625,1548.5,1546.5999755859375,1547.699951171875,33493
